Date,Brent_Crude_Price
2010-01-31,77.00842124537418
2010-02-28,74.90999924509148
2010-03-31,79.93130426821502
2010-04-30,85.75380961100261
2010-05-31,76.66473669754832
2010-06-30,75.54863565618342
2010-07-31,75.50899963378906
2010-08-31,77.1149999445135
2010-09-30,78.49095226469494
2010-10-31,83.53619021461124
2010-11-30,86.16238040015811
2010-12-31,92.18590823086825
2011-01-31,96.78631591796875
2011-02-28,103.94210494192023
2011-03-31,114.64954514936967
2011-04-30,123.05052586605674
2011-05-31,114.51428622291202
2011-06-30,113.90181801535867
2011-07-31,117.11823541977826
2011-08-31,109.91476149786087
2011-09-30,110.19449996948242
2011-10-31,109.0895004272461
2011-11-30,110.82263103284333
2011-12-31,107.72285643078033
2012-01-31,111.46499977111816
2012-02-29,119.01050071716308
2012-03-31,124.544545953924
2012-04-30,120.48650016784669
2012-05-31,110.43318245627664
2012-06-30,95.92714327857608
2012-07-31,102.86428615025112
2012-08-31,112.67826113493547
2012-09-30,112.61470525404987
2012-10-31,111.62105279219777
2012-11-30,109.46200065612793
2012-12-31,109.30277803209093
2013-01-31,112.26809583391461
2013-02-28,116.08263156288548
2013-03-31,109.52052588211863
2013-04-30,103.56681893088601
2013-05-31,103.21545514193448
2013-06-30,103.1426319323088
2013-07-31,107.49190484909784
2013-08-31,110.51190512520927
2013-09-30,111.32000054253473
2013-10-31,109.50227321277966
2013-11-30,107.72105327405427
2013-12-31,110.85400009155273
2014-01-31,107.19949951171876
2014-02-28,108.70611148410373
2014-03-31,107.85761878603981
2014-04-30,108.05190531412761
2014-05-31,109.21952420189267
2014-06-30,111.98047601609002
2014-07-31,107.98590885509144
2014-08-31,103.32047562372117
2014-09-30,98.2538088843936
2014-10-31,87.97913062054178
2014-11-30,79.91210455643504
2014-12-31,63.20363651622426
2015-01-31,49.679999923706056
2015-02-28,58.440526259572884
2015-03-31,56.93499981273305
2015-04-30,60.96523775373186
2015-05-31,65.60099925994874
2015-06-30,63.70409029180353
2015-07-31,56.62181802229448
2015-08-31,48.21952383858817
2015-09-30,48.43333344232468
2015-10-31,49.21409121426669
2015-11-30,45.90700016021729
2015-12-31,38.90954520485618
2016-01-31,32.212105098523594
2016-02-29,33.55649995803833
2016-03-31,39.75136375427246
2016-04-30,43.386666434151785
2016-05-31,47.73904764084589
2016-06-30,49.92681815407493
2016-07-31,46.330999755859374
2016-08-31,47.172608251157016
2016-09-30,47.2980953398205
2016-10-31,51.21049976348877
2016-11-30,47.10850086212158
2016-12-31,54.717618851434615
2017-01-31,55.4269998550415
2017-02-28,55.926842739707546
2017-03-31,52.50565188864003
2017-04-30,53.81894703915245
2017-05-31,51.34954556551847
2017-06-30,47.54000039534135
2017-07-31,49.12550029754639
2017-08-31,51.90695638241975
2017-09-30,55.65200023651123
2017-10-31,57.64909068020907
2017-11-30,62.87142853509812
2017-12-31,64.06650028228759
2018-01-31,69.02238028390067
2018-02-28,65.70368415430973
2018-03-31,66.80904751732236
2018-04-30,71.7623806908017
2018-05-31,77.17681884765625
2018-06-30,75.97952379499164
2018-07-31,74.7952386765253
2018-08-31,73.92260808530061
2018-09-30,79.15999964663857
2018-10-31,80.62956635848336
2018-11-30,66.23285729544503
2018-12-31,57.47000021683542
2019-01-31,60.12190500895182
2019-02-28,64.2763153879266
2019-03-31,67.02761949811664
2019-04-30,71.62857237316314
2019-05-31,70.31181820956144
2019-06-30,63.03800010681152
2019-07-31,64.25636395541105
2019-08-31,59.501818050037734
2019-09-30,62.468499946594235
2019-10-31,59.632173289423406
2019-11-30,62.65149974822998
2019-12-31,65.17380886986142
2020-01-31,63.5999999273391
2020-02-29,55.362105319374486
2020-03-31,33.72909112410112
2020-04-30,26.63142867315383
2020-05-31,32.256000232696536
2020-06-30,40.77272727272727
2020-07-31,43.24136369878595
2020-08-31,45.01999991280692
2020-09-30,41.86714299519857
2020-10-31,41.524091026999734
2020-11-30,43.78900012969971
2020-12-31,50.218181956898086
2021-01-31,55.35157916420385
2021-02-28,62.22789423089279
2021-03-31,65.70217381352964
2021-04-30,65.32857150123233
2021-05-31,68.25849990844726
2021-06-30,73.40818162397905
2021-07-31,74.15714336576916
2021-08-31,70.51363615556197
2021-09-30,75.0028559366862
2021-10-31,83.74619038899739
2021-11-30,80.78428540910993
2021-12-31,74.74318140203303
2022-01-31,85.52699966430664
2022-02-28,94.03368457994964
2022-03-31,112.46304420802905
2022-04-30,105.91699981689453
2022-05-31,111.4971429734003
2022-06-30,117.66381000337147
2022-07-31,104.70499954223632
2022-08-31,97.74086894159731
2022-09-30,90.32476116362072
2022-10-31,93.59380958193825
2022-11-30,91.11428578694661
2022-12-31,81.3414284842355
2023-01-31,83.87900009155274
2023-02-28,83.50947329872533
2023-03-31,79.2069562829059
2023-04-30,83.36894788240132
2023-05-31,75.63227358731356
2023-06-30,74.92571367536273
2023-07-31,80.35549964904786
2023-08-31,85.10434756071672
2023-09-30,92.76649932861328
2023-10-31,88.70409115878019
2023-11-30,82.02772730047053
2023-12-31,77.32399978637696
2024-01-31,79.19714319138299
2024-02-29,81.62399940490722
2024-03-31,84.66549949645996
2024-04-30,88.99999930641867
2024-05-31,82.99181851473722
2024-06-30,82.88947416606702
2024-07-31,83.71772731434216
2024-08-31,78.87500138716264
2024-09-30,72.6384994506836
2024-10-31,75.37695710555367
2024-11-30,73.40699996948243
2024-12-31,73.05300025939941
