Date,Inflation_Rate
2010-01-31,8.274525875316872
2010-02-28,9.955476566965418
2010-03-31,9.355939576778521
2010-04-30,8.876130856603254
2010-05-31,9.18073311736478
2010-06-30,8.983525164431754
2010-07-31,8.889326641186331
2010-08-31,9.23862838829451
2010-09-30,8.654030312936044
2010-10-31,9.396002965249856
2010-11-30,9.036624566921786
2010-12-31,9.651643016728709
2011-01-31,9.106740745141952
2011-02-28,9.508674476313958
2011-03-31,9.955855890510817
2011-04-30,8.73516418428699
2011-05-31,9.921067579069328
2011-06-30,8.47138245914565
2011-07-31,8.568541856835248
2011-08-31,9.11881574870474
2011-09-30,8.422909114697399
2011-10-31,9.607492020105683
2011-11-30,8.35312045837518
2011-12-31,9.411361404119756
2012-01-31,8.833924436773383
2012-02-29,8.359285495309166
2012-03-31,9.109268907123344
2012-04-30,10.041737112425277
2012-05-31,8.875890968587406
2012-06-30,9.13373019894352
2012-07-31,9.35625675071542
2012-08-31,8.673196158044798
2012-09-30,9.081139818592707
2012-10-31,10.106690248298252
2012-11-30,8.66723288313428
2012-12-31,8.495498391733348
2013-01-31,10.174025609687426
2013-02-28,9.302187929105388
2013-03-31,9.321914552378667
2013-04-30,8.834123868588208
2013-05-31,9.034931986829003
2013-06-30,8.992644486815427
2013-07-31,9.855534372874798
2013-08-31,8.821777466154472
2013-09-30,9.321558027959886
2013-10-31,8.879558609302599
2013-11-30,7.721009519846412
2013-12-31,8.022168523691514
2014-01-31,9.012852869358873
2014-02-28,9.386642083551349
2014-03-31,10.093047473298833
2014-04-30,9.889286245309295
2014-05-31,9.170087048371952
2014-06-30,8.893240707068468
2014-07-31,9.558867952991813
2014-08-31,9.473514723173832
2014-09-30,9.131501800123432
2014-10-31,8.066032362219845
2014-11-30,8.804199398708077
2014-12-31,8.424291184614543
2015-01-31,9.048718988401829
2015-02-28,9.791015982317004
2015-03-31,8.758565725718238
2015-04-30,9.099956384161485
2015-05-31,8.852671362967852
2015-06-30,9.489118072847498
2015-07-31,8.984959788912922
2015-08-31,8.656738278539262
2015-09-30,9.024870086136353
2015-10-31,9.668820705037422
2015-11-30,8.883616050338558
2015-12-31,9.276850886895181
2016-01-31,15.283940736252498
2016-02-29,17.454238332861262
2016-03-31,16.920148625609173
2016-04-30,15.82287397162239
2016-05-31,16.342481197376536
2016-06-30,15.80958636802687
2016-07-31,17.288247268164238
2016-08-31,16.474852537072465
2016-09-30,15.712291337064665
2016-10-31,18.297591738482854
2016-11-30,16.457129959191654
2016-12-31,16.945140613800955
2017-01-31,14.894772377128183
2017-02-28,15.953423867337197
2017-03-31,16.87051097861801
2017-04-30,16.048744523704336
2017-05-31,16.17673446483304
2017-06-30,15.189546402932127
2017-07-31,16.378998087993885
2017-08-31,17.22595526630897
2017-09-30,16.5539155973358
2017-10-31,17.05239351489841
2017-11-30,16.44402522230284
2017-12-31,17.097855140847024
2018-01-31,11.646787963670317
2018-02-28,11.890995542558139
2018-03-31,11.763931984567272
2018-04-30,12.908983266186269
2018-05-31,11.929227199970938
2018-06-30,11.431984619411631
2018-07-31,11.955625430707146
2018-08-31,11.740602397002746
2018-09-30,12.18523915412614
2018-10-31,11.225583541705985
2018-11-30,11.663553170894831
2018-12-31,11.737571664675315
2019-01-31,12.113379172505239
2019-02-28,12.379027761724501
2019-03-31,11.978934686881844
2019-04-30,12.062118976186897
2019-05-31,11.355125156412328
2019-06-30,12.16845360785659
2019-07-31,12.609522815444452
2019-08-31,11.906079857880652
2019-09-30,11.815905029342147
2019-10-31,12.401361873710876
2019-11-30,11.94872719604298
2019-12-31,11.423194178990792
2020-01-31,11.692524945549009
2020-02-29,11.593809639361119
2020-03-31,11.260879182243766
2020-04-30,12.406242598097213
2020-05-31,11.622681119802609
2020-06-30,11.566507612920269
2020-07-31,11.466784010454733
2020-08-31,16.830256544736187
2020-09-30,16.2408811500478
2020-10-31,16.94405296609921
2020-11-30,17.564055800786832
2020-12-31,16.97031048842015
2021-01-31,16.51323884990194
2021-02-28,16.906264641876135
2021-03-31,15.634806353459968
2021-04-30,16.555379305478002
2021-05-31,17.536056952927417
2021-06-30,16.552221883881455
2021-07-31,16.5738054487841
2021-08-31,16.90861293617318
2021-09-30,17.1801622401791
2021-10-31,15.694837194953328
2021-11-30,17.343159417608874
2021-12-31,16.286496676115597
2022-01-31,21.129804215156756
2022-02-28,21.692679416291842
2022-03-31,21.104938473335373
2022-04-30,20.888700921938227
2022-05-31,23.65732435865526
2022-06-30,22.68434931323172
2022-07-31,21.176386236187053
2022-08-31,21.37805853587739
2022-09-30,21.84432469632846
2022-10-31,21.880461079358124
2022-11-30,22.74748498329785
2022-12-31,22.40001294368031
2023-01-31,22.23341466192228
2023-02-28,21.11098392235363
2023-03-31,22.635418625110763
2023-04-30,22.43229868655668
2023-05-31,21.579934307558187
2023-06-30,26.338232882305647
2023-07-31,28.141513543684134
2023-08-31,28.29916696260383
2023-09-30,28.09982416296241
2023-10-31,27.885851427268694
2023-11-30,28.219335374474422
2023-12-31,27.144861219287037
2024-01-31,34.4292344856036
2024-02-29,33.21007315333278
2024-03-31,33.92311791179127
2024-04-30,31.7740479873466
2024-05-31,33.23292245517668
2024-06-30,32.33228160087434
2024-07-31,33.89673284445961
2024-08-31,33.08143523001206
2024-09-30,31.45565984585426
2024-10-31,31.63854436782015
2024-11-30,32.55346555974297
2024-12-31,33.22045259659061
